ИНДЕКС 1,"Угол нашивки, град",Шаг нашивки,Плотность нашивки,Соотношение матрица-наполнитель,"Плотность, кг/м3","модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Потребление смолы, г/м2"
0,0,4,57,"1,8571428571",2030,"738,7368421053",30,"22,2678571429",100,210,70,3000,220
1,0,4,60,"1,8571428571",2030,"738,7368421053",50,"23,75","284,6153846154",210,70,3000,220
2,0,4,70,"1,8571428571",2030,"738,7368421053","49,9",33,"284,6153846154",210,70,3000,220
3,0,5,47,"1,8571428571",2030,"738,7368421053",129,"21,25",300,210,70,3000,220
4,0,5,57,"2,771331058",2030,753,"111,86","22,2678571429","284,6153846154",210,70,3000,220
5,0,5,60,"2,7679180887",2000,748,"111,86","22,2678571429","284,6153846154",210,70,3000,220
6,0,5,70,"2,5696202532",1910,807,"111,86","22,2678571429","284,6153846154",210,70,3000,220
7,0,7,47,"2,5614754098",1900,535,"111,86","22,2678571429","284,6153846154",380,75,1800,120
8,0,7,57,"3,5570175439",1930,889,129,"21,25",300,380,75,1800,120
9,0,7,60,"3,5323383085",2100,1421,129,"21,25",300,1010,78,2000,300
10,0,7,70,"2,9196778363",2160,933,129,"21,25",300,1010,78,2000,300
11,0,9,47,"2,8773584906",1990,1628,129,"21,25",300,1010,78,2000,300
12,0,9,57,"1,598173516",1950,827,129,"21,25",300,470,"73,3333333333","2455,5555555556",220
13,0,9,60,"2,9196778363",1980,568,129,"21,25",300,470,"73,3333333333","2455,5555555556",220
14,0,9,70,"4,0291262136",1910,800,129,"21,25",300,470,"73,3333333333","2455,5555555556",220
15,0,10,47,"2,9347826087",2030,302,129,"21,25",300,210,70,3000,220
16,0,10,57,"3,5570175439",1880,313,129,"21,25",300,210,70,3000,220
17,0,10,60,"4,1935483871",1950,506,129,"21,25",300,380,75,1800,120
18,0,10,70,"4,8979591837",1890,540,129,"21,25",300,380,75,1800,120
19,0,0,0,"3,5323383085",1980,1183,"111,86","22,2678571429","284,6153846154",1010,78,2000,300
20,90,4,47,"2,8773584906",2000,205,"111,86","22,2678571429","284,6153846154",1010,78,2000,300
21,90,4,57,"1,598173516",1920,456,"111,86","22,2678571429","284,6153846154",470,"73,3333333333","2455,5555555556",220
22,90,4,60,"4,0291262136",1880,622,"111,86","22,2678571429","284,6153846154",470,"73,3333333333","2455,5555555556",220
23,90,4,70,"2,5873476432","1953,2749263874","1136,5961346211","137,6274196124","22,3445335715","234,7168829648","555,8934533152","80,8032217605","2587,3429828906","246,6131165366"
24,90,5,47,"2,4999179279","1942,5957766833","901,5199467336","146,2522077669","23,0817574798","351,2318739673","864,7254838028","76,1780750812","3705,6725233617","226,2227603646"
25,90,5,57,"2,0464714636","2037,6318111899","707,5708870097","101,6172513348","23,1463928131","312,3072052426","547,6012186441","73,8170666194","2624,0264071672","178,1985558923"
26,90,5,60,"1,8564761696","2018,2203315873","836,2943815616","135,4016965546","26,4355145955","327,5103766986","150,9614485003","77,2107615753","2473,1871945674","123,3445614325"
27,90,5,70,"3,3055354218","1917,9075063671","478,2862473397","105,7869295714","17,8740999098","328,1545794616","526,6921594059","72,3457087941","3059,0329912123","275,5758795221"
28,90,7,47,"2,7095540945","1892,0711238068","641,0525494046","96,5632931903","22,9892905613","262,9567219903","804,5926207502","74,5113592231","2288,9673765789","126,8163388708"
29,90,7,57,"2,2828253137","2008,3575918334","393,9673254554","149,3728323704","21,6617506765","330,4986409968","535,3714591168","72,2449240784","2704,4450809615","261,077071613"
30,90,7,60,"1,9781401732","1973,6290966114","991,7240945593","149,3721278901","19,750577887","232,0581913446","485,4537780573","75,6657005566","2448,9430792513","162,4936936213"
31,90,7,70,"1,7714363931","1872,4915598841","801,0338825403","79,7945478731","22,2963037219","340,7368984433","864,9291837089","70,947591561","2796,785401765","123,3562642675"
32,90,9,47,"3,2770869869","2010,0470119239","339,5504227575","67,4989930617","24,280609021","254,9490836698","117,5352342079","67,4787066266","2462,6053858683","207,018581296"
33,90,9,57,"2,9843622258","1912,3154366446","1183,0918454845","133,5490007433","23,2637965674","314,996125462","377,3890094285","75,2904522177","2303,7706561607","200,5802493513"
34,90,9,60,"2,916149621","1879,9698456543","1003,2701775355","109,2395304695","25,6827594777","294,0485366071","408,3542393372","71,7008556184","3086,5461957629","192,1911620923"
35,90,9,70,"3,2476172107","1813,2345999776","757,8744789915","81,3798708371","23,4224652381","279,0801574917","575,0628571208","69,3411328772","3188,1363577173","252,8705688078"
36,90,10,47,"2,4238756727","1908,9406010818","530,2286863618","58,2624142792","24,0735492275","325,1386879785","456,9080466977","74,2443541742","1890,5058069878","222,6994872598"
37,90,10,57,"5,0989930896","1977,3390472493","1572,0960422799","132,3430598167","25,397000979","286,5564308546","690,3648357359","72,3416397335","1386,5789729301","271,9013936881"
38,90,10,60,"2,4441769859","2085,4958372234","931,3106360631","110,5648398941","23,4871397612","270,2867650966","278,2300202743","71,479060466","2740,2296312837","187,8613727398"
39,90,10,70,"2,6676969291","2078,8946761297","1542,1684576617","132,1474033109","22,6501091996","357,9728962254","787,2992170348","76,4717884703","2559,6430474181","163,902778015"
40,0,"7,856166547","64,3019638481","3,0343994828","1968,4013879748","455,8710188167","61,4212965248","23,4907229119","316,414572148","637,3768926566","75,090371737","2848,490078464","311,0523979196"
41,0,"7,401542567","19,2505331367","2,4652049711","1936,0991372887","1056,5549851209","71,2940582201","24,5233806974","271,975678291","129,0771628561","66,420794362","2868,586527227","227,0225573455"
42,0,"6,6757803393","78,6232993395","2,6643886488","1996,1591453156","525,0577741067","77,5068825395","18,1261070575","223,4086854335","28,6581023413","69,4897734806","2220,5874445891","314,7766687119"
43,0,"7,5263983201","38,1769753166","1,193529582","1965,9292269426","899,6037010218","102,9590685812","19,5667162364","225,8102228714","871,0889548224","73,4546945165","2335,5417917128","91,0476463345"
44,0,"8,3256992203","46,04542763","2,9143332755","2049,3734037036","382,2633585345","81,3520473689","16,3915947269","233,2960626935","561,9921308387","69,8146151618","2262,7843655603","303,0754523694"
45,0,"7,6562108751","33,5710235585","4,3156657822","1913,3796769784","822,9187354835","143,5769371321","24,2755880964","274,9887944155","260,8593410821","75,9573285671","1639,912525449","248,2443298561"
46,0,"10,3029447226","39,234279793","2,3384242882","1963,3515601311","1155,1605040936","150,0158297718","18,2994213764","315,9041780726","644,3631420541","71,3039897677","3407,7135811816","304,4232740958"
47,0,"8,9468911207","72,0845940917","1,2981672456","1984,5113728976","1405,7868216589","130,9427979372","21,8292399011","288,9520988089","161,0077185","74,6809132551","2526,814255745","228,8677196442"
48,0,"3,7466249772","57,9977721821","2,1344461442","1986,3490526227","809,2938035087","95,0890218409","19,364925719","205,499760974","196,3576426649","76,3402072502","2459,5245260031","289,9571415724"
49,0,"9,0943636774","44,8016005719","4,1479664322","1991,7897886655","1250,1982751008","116,8564621714","21,5732649493","320,7401724975","755,5005551644","70,3554640268","1795,7193592503","189,8833072896"
50,0,"6,3037728456","72,1520187319","3,0578301469","1987,2598588602","403,3952302436","112,7198260481","19,3905110709","336,2453837303","352,8319835277","73,0164888869","2016,5036368044","206,6933788789"
51,0,"7,2579618311","50,2198355345","4,1821285844","1940,7392371819","347,9917504112","111,969772877","18,8002833612","304,1904883365","229,9283369116","72,7694732166","2097,6694523852","226,4226452571"
52,0,"6,5479929444","74,2188766057","1,8469231546","1956,0872973781","622,7227580118","115,7097201686","21,0433175527","236,8836715992","393,3954368061","64,6964003954","2436,2736592832","188,2741230327"
53,0,"6,1461253215","70,3554043304","1,3010250437","2057,9391925374","939,8590088395","136,323974578","23,3292718838","292,6257156022","523,8472486462","69,3828660744","2561,5446464271","219,3219713334"
54,0,"10,0507182798","74,15666565","3,6319348115","2065,5178798642","553,6209360557","120,695877524","24,4318936601","308,9785649264","234,1616743756","69,8021906297","2320,8186814687","266,1383012497"
55,0,"9,9125262438","71,1448160894","3,9503517635","2078,085189585","578,4722101273","101,9853725722","23,5215700672","263,9367941647","200,9709562987","75,9294262403","2684,3939468166","321,5831839311"
